skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
cassandra,https://www.coursera.org/learn/vector-search-with-nosql-databases-using-mongodb-and-cassandra,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a1/d5e4f4bac447b88088ab96d51abfc5/1200x1200_img4_478494545.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,SkillUp EdTech,Vector Search with NoSQL Databases using MongoDB & Cassandra,"['MongoDB', 'NoSQL', 'Applied Machine Learning', 'Databases', 'Database Management Systems', 'Apache Cassandra', 'Text Mining', 'Image Analysis', 'Node.JS', 'Unstructured Data']",4.8,25,Intermediate,Course,1 - 4 Weeks
cassandra,https://www.coursera.org/specializations/java-fullstack,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/4dcbc397754fb880094f4ebde1fdb5/Java-Full-Stack-Developer-specialization-2-.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Board Infinity,Java FullStack Developer,"['Angular', 'Web Applications', 'HTML and CSS', 'Web Development', 'Eclipse (Software)', 'JavaScript Frameworks', 'Spring Boot', 'Object Oriented Programming (OOP)', 'Restful API', 'Java Programming', 'Model View Controller', 'Object Oriented Design', 'Hypertext Markup Language (HTML)', 'Front-End Web Development', 'Software Development Tools', 'Spring Framework', 'Java', 'Web Services', 'Javascript', 'Integrated Development Environments']",4.3,568,Intermediate,Specialization,1 - 3 Months
cassandra,https://www.coursera.org/specializations/web-design,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/webdesign.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University of Michigan,Web Design for Everybody: Basics of Web Development & Coding,"['Wireframing', 'Responsive Web Design', 'HTML and CSS', 'Web Content Accessibility Guidelines', 'Cascading Style Sheets (CSS)', 'Web Design', 'Hypertext Markup Language (HTML)', 'Browser Compatibility', 'Bootstrap (Front-End Framework)', 'Javascript', 'Front-End Web Development', 'User Interface (UI)', 'Verification And Validation', 'Web Development', 'Interactive Design', 'Usability', 'Web Design and Development', 'Application Frameworks', 'Event-Driven Programming', 'Web Applications']",4.7,35000,Beginner,Specialization,3 - 6 Months
cassandra,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/18/2aa16c328a457cb910aa933bf2cd87/Professional-Certificate-Cloud-App.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM Full Stack Software Developer,"['Istio', 'Node.JS', 'Software Development Life Cycle', 'Unit Testing', 'Object-Relational Mapping', 'Cloud Computing Architecture', 'Server Side', 'Application Deployment', 'React Redux', 'Kubernetes', 'Cloud Services', 'OpenShift', 'Git (Version Control System)', 'Cloud Applications', 'Full-Stack Web Development', 'HTML and CSS', 'Cloud Computing', 'Jupyter', 'Generative AI', 'Interviewing Skills']",4.6,54000,Beginner,Professional Certificate,3 - 6 Months
cassandra,https://www.coursera.org/learn/applications-development-microservices-serverless-openshift,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/5a/40f6dc50574996b94894be263e1694/CAD-8.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Application Development using Microservices and Serverless,"['Application Deployment', 'OpenShift', 'Cloud Applications', 'Serverless Computing', 'Microservices', 'Istio', 'API Gateway', 'Restful API', 'Cloud Computing', 'IBM Cloud', 'Kubernetes', 'Application Development', 'Containerization', 'Platform As A Service (PaaS)', 'Software Architecture', 'Docker (Software)', 'Flask (Web Framework)']",4.6,353,Intermediate,Course,1 - 3 Months
cassandra,https://www.coursera.org/professional-certificates/meta-front-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/d25c0d25114924a34754928dbf8273/Front-end-dev-ProCert.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Meta,Meta Front-End Developer,"['Jest (JavaScript Testing Framework)', 'Version Control', 'User Research', 'UI/UX Research', 'Usability Testing', 'Responsive Web Design', 'Cascading Style Sheets (CSS)', 'Data Structures', 'Unix Commands', 'HTML and CSS', 'Git (Version Control System)', 'Persona (User Experience)', 'GitHub', 'Interaction Design', 'Bootstrap (Front-End Framework)', 'React.js', 'Mobile Development', 'Front-End Web Development', 'Algorithms', 'Web Development Tools']",4.7,22000,Beginner,Professional Certificate,3 - 6 Months
cassandra,https://www.coursera.org/professional-certificates/meta-back-end-developer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/1e/d2f5a0dc494722980faf74d9fa8fc8/Back-end-dev-ProCert.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Meta,Meta Back-End Developer,"['Django (Web Framework)', 'Full-Stack Web Development', 'Version Control', 'Restful API', 'Data Structures', 'Unix Commands', 'Bootstrap (Front-End Framework)', 'Git (Version Control System)', 'Back-End Web Development', 'GitHub', 'Web Design and Development', 'Relational Databases', 'Front-End Web Development', 'Object Oriented Programming (OOP)', 'Database Management Systems', 'Database Design', 'SQL', 'Unit Testing', 'Algorithms', 'Web Development']",4.6,9100,Beginner,Professional Certificate,3 - 6 Months
cassandra,https://www.coursera.org/specializations/web-applications,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/88/dc5c5094d411e7b4b66f7a7a1060c7/WA4E_mainimage_coloronly2.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Michigan,Web Applications for Everybody,"['Database Design', 'SQL', 'MySQL', 'PHP (Scripting Language)', 'Relational Databases', 'JSON', 'Database Management', 'jQuery', 'Hypertext Markup Language (HTML)', 'Javascript and jQuery', 'Ajax', 'Databases', 'Data Modeling', 'Database Application', 'Database Development', 'Debugging', 'Web Applications', 'Object Oriented Design', 'Object Oriented Programming (OOP)', 'Web Development']",4.7,9200,Intermediate,Specialization,3 - 6 Months
cassandra,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,"Python for Data Science, AI & Development","['Jupyter', 'Automation', 'Web Scraping', 'Python Programming', 'Data Manipulation', 'Data Import/Export', 'Scripting', 'Data Structures', 'Data Processing', 'Data Collection', 'Application Programming Interface (API)', 'Pandas (Python Package)', 'Programming Principles', 'NumPy', 'Object Oriented Programming (OOP)', 'Computer Programming']",4.6,41000,Beginner,Course,1 - 3 Months
cassandra,https://www.coursera.org/learn/introduction-to-nosql-databases,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4d/e41c7d06084588a68d754b85f4b088/NoSQL-800x800_square.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Introduction to NoSQL Databases,"['NoSQL', 'MongoDB', 'Databases', 'Apache Cassandra', 'Distributed Computing', 'Database Management', 'Database Architecture and Administration', 'IBM Cloud', 'Query Languages', 'Data Modeling', 'JSON', 'Scalability']",4.6,341,Beginner,Course,1 - 3 Months
