skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
computer vision,https://www.coursera.org/learn/computer-vision-basics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/4eb57e25fc49509873e0c44759144e/Course-1-v2-logo.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,University at Buffalo,Computer Vision Basics,"['Computer Vision', 'Image Analysis', 'Computer Graphics', 'Visualization (Computer Graphics)', 'Color Theory', 'Data Processing', 'Artificial Intelligence', 'Matlab', 'Artificial Neural Networks', 'Algorithms', 'Calculus', 'Probability & Statistics']",4.2,1800.0,Intermediate,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/learn/introduction-computer-vision-watson-opencv,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/ea/c905977976478d866469a141228118/ComputerVision532x532.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to Computer Vision and Image Processing,"['Computer Vision', 'Image Analysis', 'Artificial Neural Networks', 'IBM Cloud', 'Keras (Neural Network Library)', 'Cloud Applications', 'Deep Learning', 'Tensorflow', 'PyTorch (Machine Learning Library)', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Computer Programming', 'Cloud Computing', 'Augmented Reality', 'Application Development', 'Computer Science', 'Machine Learning', 'Data Processing']",4.3,1300.0,Beginner,Course,1 - 3 Months
computer vision,https://www.coursera.org/learn/image-understanding-tensorflow-gcp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/99eae0bd3f11e88d1bdf247fdfe9da/adv-ml-gcp-3x.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Google Cloud,Computer Vision Fundamentals with Google Cloud,"['Tensorflow', 'Computer Vision', 'Image Analysis', 'Applied Machine Learning', 'Artificial Neural Networks', 'Deep Learning', 'Supervised Learning', 'Google Cloud Platform', 'Machine Learning Methods', 'Feature Engineering', 'Machine Learning', 'Small Data', 'Data Processing', 'Cloud API']",4.5,543.0,Advanced,Course,1 - 3 Months
computer vision,https://www.coursera.org/learn/introduction-to-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a7/edd3b41ddd45298d7bbcb04b19fba6/200766_Logo-Image_1200x1200pxl-copy-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,Introduction to Artificial Intelligence (AI),"['Artificial Intelligence', 'Generative AI', 'Data Ethics', 'OpenAI', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Deep Learning', 'Artificial Neural Networks', 'ChatGPT', 'Governance', 'Machine Learning', 'Business Transformation', 'Computer Vision', 'Emerging Technologies', 'Natural Language Processing']",4.7,18000.0,Beginner,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/professional-certificates/mathworks-computer-vision-engineer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/21/a587d8db4b4afe836e21ac70738353/computer-vision-engineer-specialization-600x600.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,MathWorks,MathWorks Computer Vision Engineer,"['Computer Vision', 'Image Analysis', 'Anomaly Detection', 'Deep Learning', 'Applied Machine Learning', 'Artificial Neural Networks', 'Matlab', 'Application Deployment', 'PyTorch (Machine Learning Library)', 'Machine Learning', 'Supervised Learning', 'Data Visualization', 'Automation', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Data Cleansing', 'Spatial Data Analysis', 'Predictive Modeling', 'Machine Learning Methods', 'Visualization (Computer Graphics)', 'Data Synthesis']",4.7,290.0,Beginner,Professional Certificate,3 - 6 Months
computer vision,https://www.coursera.org/learn/computer-vision-microsoft-azure,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/37/310cb7aaad4a5c97b4d11974681f15/Computer-Vision-in-Microsoft-Azure-01.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Microsoft,Computer Vision in Microsoft Azure,"['Image Analysis', 'Computer Vision', 'Artificial Intelligence', 'Microsoft Azure', 'Applied Machine Learning', 'Data Processing', 'Unstructured Data', 'Natural Language Processing', 'Deep Learning', 'Application Programming Interface (API)']",4.6,98.0,Beginner,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/projects/build-a-computer-vision-app-with-azure-cognitive-services,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/5d/b8e0f1e4a148d69cbcd32936bec7ae/abc.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,Microsoft,Build a computer vision app with Azure Cognitive Services,"['Application Programming Interface (API)', 'Microsoft Azure', 'Computer Vision', 'Artificial Intelligence and Machine Learning (AI/ML)', 'User Accounts', 'Image Analysis', 'Artificial Intelligence', 'Cloud Computing']",4.4,273.0,Intermediate,Guided Project,Less Than 2 Hours
computer vision,https://www.coursera.org/learn/python-for-applied-data-science-ai,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fc/c1b8dfbac740999b6256aca490de43/Python-Image.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,"Python for Data Science, AI & Development","['Jupyter', 'Automation', 'Web Scraping', 'Python Programming', 'Data Manipulation', 'Data Import/Export', 'Scripting', 'Data Structures', 'Data Processing', 'Data Collection', 'Application Programming Interface (API)', 'Pandas (Python Package)', 'Programming Principles', 'NumPy', 'Object Oriented Programming (OOP)', 'Computer Programming']",4.6,41000.0,Beginner,Course,1 - 3 Months
computer vision,https://www.coursera.org/learn/advanced-computer-vision-with-tensorflow,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a5/6bc3105dbb45848e0f9f3297fa0cc0/Course-Logo-3.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,DeepLearning.AI,Advanced Computer Vision with TensorFlow,"['Computer Vision', 'Tensorflow', 'Image Analysis', 'Keras (Neural Network Library)', 'Deep Learning', 'Artificial Neural Networks', 'Visualization (Computer Graphics)', 'Machine Learning']",4.7,518.0,Intermediate,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/learn/intro-computer-vision,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/90/1641c4f0be4906a3095292a58a46d2/c1-introduction-to-computer-vision-1000x1000.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,MathWorks,Introduction to Computer Vision,"['Image Analysis', 'Computer Vision', 'Matlab', 'Anomaly Detection', 'Geospatial Information and Technology', 'Applied Machine Learning', 'Data Transformation', 'Algorithms']",4.6,52.0,Intermediate,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/specializations/computer-vision,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/31/53fd1c54e64983a0d8ce948430b9b7/specialization-computer-vision-800x800.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,MathWorks,Computer Vision for Engineering and Science,"['Computer Vision', 'Image Analysis', 'Deep Learning', 'Matlab', 'Applied Machine Learning', 'Machine Learning', 'Supervised Learning', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Anomaly Detection', 'Geospatial Information and Technology', 'Visualization (Computer Graphics)', 'Data Cleansing', 'Data Transformation', 'Performance Tuning', 'Algorithms']",4.6,83.0,Intermediate,Specialization,1 - 3 Months
computer vision,https://www.coursera.org/specializations/deep-learning-computer-vision,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/37/075add4aee4e8bbebdf1b31379fea5/specialization-deep-learning-computer-vision-800x800.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,MathWorks,Deep Learning for Computer Vision,"['Computer Vision', 'Anomaly Detection', 'Image Analysis', 'Matlab', 'Deep Learning', 'Artificial Neural Networks', 'Applied Machine Learning', 'Application Deployment', 'PyTorch (Machine Learning Library)', 'Data Visualization', 'Data Cleansing', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Predictive Modeling', 'Machine Learning Methods', 'Data Synthesis', 'Performance Tuning', 'Data Analysis', 'Machine Learning', 'Data Manipulation']",4.9,19.0,Beginner,Specialization,1 - 3 Months
computer vision,https://www.coursera.org/learn/computer-vision-with-embedded-machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d6/c1bdf047444e298ed052bb13419f3f/coursera_CV_A_1200x1200.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Edge Impulse,Computer Vision with Embedded Machine Learning,"['Computer Vision', 'Image Analysis', 'Artificial Neural Networks', 'Embedded Systems', 'Embedded Software', 'Deep Learning', 'Data Ethics', 'Machine Learning', 'Artificial Intelligence', 'Python Programming']",4.8,147.0,Intermediate,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/specializations/firstprinciplesofcomputervision,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/68/766c7b495449aca25ed53078f1a080/Program_photo-1-.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Columbia University,First Principles of Computer Vision,"['Computer Vision', 'Image Analysis', 'Computer Graphics', 'Dimensionality Reduction', '3D Modeling', 'Artificial Neural Networks', 'Virtual Reality', 'Visualization (Computer Graphics)', 'Color Theory', 'Unsupervised Learning', 'Deep Learning', 'Graph Theory', 'Data Capture', 'Mathematical Modeling', 'Machine Learning Algorithms', 'Estimation', 'Data Cleansing', 'Systems Of Measurement', 'Computational Thinking', 'Data Processing']",4.7,209.0,Beginner,Specialization,3 - 6 Months
computer vision,https://www.coursera.org/learn/gpt-vision,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d9/5df068833a44a390887ce32dc18ff4/juleswhite_3d_colorful_volumeric_gradient_shape_ee44113a-1a86-4bc1-9bdd-f4fb19d2c74f.png?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,Vanderbilt University,GPT Vision: Seeing the World through Generative AI,"['ChatGPT', 'Generative AI', 'Image Analysis', 'Data Capture', 'OpenAI', 'Data Analysis', 'Organizational Skills', 'Computer Vision', 'Creativity', 'Artificial Intelligence', 'Data Integration', 'Problem Solving', 'Cooking']",4.9,150.0,Beginner,Course,1 - 4 Weeks
computer vision,https://www.coursera.org/learn/introduction-to-data-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/77/330fd160df42a79e6286fdc7b6b60f/Course-1--Introduction-to-Data-Analysis_1200x600.jpg?auto=format%2Ccompress&dpr=2&blur=200&px=8&max-w=265,IBM,Introduction to Data Analytics,"['Big Data', 'Data Analysis', 'Statistical Analysis', 'Apache Hadoop', 'Apache Hive', 'Data Collection', 'Data Mart', 'Data Warehousing', 'Data Storytelling', 'Apache Spark', 'Data Cleansing', 'Data Lakes', 'Data Visualization Software', 'SQL']",4.8,18000.0,Beginner,Course,1 - 3 Months
