skill,link,image_link,partner,title,course_skill,rating,num_review,difficulty,course_type,duration
shaw,https://www.coursera.org/learn/project-management-foundations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/33/56fa78ec0542f19eaa977b8854c833/coursera2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Foundations of Project Management,"['Project Management Life Cycle', 'Change Management', 'Organizational Structure', 'Project Management', 'Project Coordination', 'Organizational Skills', 'Agile Methodology', 'Project Planning', 'Waterfall Methodology', 'Cross-Functional Collaboration', 'Communication', 'Decision Making']",4.9,93000,Beginner,Course,1 - 4 Weeks
shaw,https://www.coursera.org/professional-certificates/google-project-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bf/b07da9bbe24cb8b0daa00010ff8b22/1060x596_GCC-photos_Ashley.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&fit=crop&q=50&crop=faces,Google,Google Project Management:,"['Quality Management', 'Project Scoping', 'Project Closure', 'Project Management', 'Project Management Life Cycle', 'Project Planning', 'Continuous Improvement Process', 'Agile Project Management', 'Process Improvement', 'Project Controls', 'Team Leadership', 'Project Coordination', 'Backlogs', 'Team Management', 'Project Documentation', 'Agile Methodology', 'Communication Planning', 'Change Management', 'Milestones (Project Management)', 'Organizational Structure']",4.8,126000,Beginner,Professional Certificate,3 - 6 Months
shaw,https://www.coursera.org/specializations/construction-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/83/27c0906c9b11e697217132e89362f6/CM_SpecLogo800.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Columbia University,Construction Management,"['Project Schedules', 'Construction Management', 'Construction Estimating', 'Project Finance', 'Cost Estimation', 'Project Risk Management', 'Bidding', 'Building Information Modeling', 'Scheduling', 'Cost Control', 'Environment Health And Safety', 'Risk Management', 'Project Closure', 'Lean Methodologies', 'Project Controls', 'Real Estate', 'Cash Flows', 'Business Transformation', 'Innovation', 'Architecture and Construction']",4.7,9200,Beginner,Specialization,3 - 6 Months
shaw,https://www.coursera.org/professional-certificates/ibm-it-project-manager,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/0a/78a20b48fe419ea3f857ea43e3e38b/IT-Project-Management-PC.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM IT Project Manager,"['Stakeholder Engagement', 'Software Development Life Cycle', 'Agile Software Development', 'Project Management Life Cycle', 'Resource Management', 'Risk Management', 'Peer Review', 'Earned Value Management', 'Stakeholder Management', 'Agile Methodology', 'Project Risk Management', 'Team Motivation', 'Kanban Principles', 'Project Schedules', 'Development Environment', 'Project Management Institute (PMI) Methodology', 'Information Technology', 'Sprint Retrospectives', 'Interviewing Skills', 'Project Management']",4.7,7900,Beginner,Professional Certificate,3 - 6 Months
shaw,https://www.coursera.org/professional-certificates/ibm-project-manager,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/78/c4724ddada49db810c11a936e198c4/Projects.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,IBM,IBM Project Manager,"['Stakeholder Engagement', 'Agile Software Development', 'Project Management Life Cycle', 'Resource Management', 'Risk Management', 'Peer Review', 'Earned Value Management', 'Stakeholder Management', 'Agile Methodology', 'Project Risk Management', 'Team Motivation', 'Kanban Principles', 'Project Schedules', 'Project Management Institute (PMI) Methodology', 'Negotiation', 'Project Management', 'IT Management', 'Interviewing Skills', 'Professional Networking', 'Project Coordination']",4.8,4600,Beginner,Professional Certificate,3 - 6 Months
shaw,https://www.coursera.org/learn/initiating-planning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/42/c288b0a04d11e688655933b8cc527d/comp-600px-2.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50,Rice University,Engineering Project Management: Initiating and Planning,"['Communication Planning', 'Stakeholder Management', 'Organizational Structure', 'Project Documentation', 'Project Management', 'Project Management Life Cycle', 'Project Scoping', 'Project Planning', 'Requirements Management', 'Financial Analysis', 'Business Analysis', 'Peer Review']",4.7,3400,Beginner,Course,1 - 3 Months
shaw,https://www.coursera.org/specializations/managing-major-engineering-projects,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/4a/d532c02e8e11e89dec31acafba6dd6/specialisation_thumbnail_600x600.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,University of Leeds,Managing Major Engineering Projects,"['Stakeholder Management', 'Stakeholder Engagement', 'Engineering Management', 'Scope Management', 'Stakeholder Communications', 'Risk Management', 'Project Finance', 'Project Scoping', 'Program Management', 'Project Risk Management', 'Project Management', 'Business Risk Management', 'Enterprise Risk Management (ERM)', 'Governance', 'Construction Management', 'Project Controls', 'Project Management Life Cycle', 'Project Performance', 'Contract Management', 'Project Coordination']",4.7,1200,Intermediate,Specialization,3 - 6 Months
shaw,https://www.coursera.org/specializations/project-management-success,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/55/c627235f5f48f282bae2ad68fdb3d2/Thumbnail.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,"University of California, Irvine",Project Management & Other Tools for Career Development,"['Business Writing', 'Negotiation', 'Stakeholder Management', 'Project Performance', 'Business Correspondence', 'Creative Problem-Solving', 'Problem Solving', 'Conflict Management', 'Concision', 'Project Risk Management', 'Editing', 'Brainstorming', 'Decision Making', 'Creative Thinking', 'Project Management', 'Project Planning', 'Risk Analysis', 'Emotional Intelligence', 'Scope Management', 'Relationship Building']",4.7,37000,Beginner,Specialization,3 - 6 Months
shaw,https://www.coursera.org/learn/ibm-project-management-capstone,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4d/4bcd7c565141148b5e9a3025e30af0/Project-Management-Capstone.jpg?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&q=50&fit=crop,IBM,Project Management Capstone,"['Peer Review', 'Project Management', 'Project Management Life Cycle', 'Project Management Institute (PMI) Methodology', 'Agile Project Management', 'Project Portfolio Management', 'Project Closure', 'Work Breakdown Structure', 'Backlogs', 'User Story', 'Sprint Planning', 'Project Planning', 'Project Documentation', 'Management Reporting', 'Risk Management', 'Stakeholder Management', 'Quality Management', 'Communication Planning', 'Change Management', 'Budgeting']",4.9,93,Advanced,Course,1 - 3 Months
shaw,https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/44/0edafdd7584b4594f608961adcaaa7/GwG-PM-Cert-Image.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=320&h=180&q=50&fit=crop&crop=entropy,Google,Gestión de Proyectos de Google,"['Project Closure', 'Cost Management', 'Quality Management', 'Project Planning', 'Project Management Life Cycle', 'Communication Planning', 'Sprint Retrospectives', 'Project Controls', 'Backlogs', 'Agile Methodology', 'Agile Project Management', 'Budget Management', 'Project Scoping', 'Project Schedules', 'Milestones (Project Management)', 'Team Leadership', 'Stakeholder Management', 'Project Documentation', 'Project Management', 'Change Management']",4.9,10000,Beginner,Professional Certificate,3 - 6 Months
